"Save Configuration", "Konfiguration speichern"
"General", "Allgemein"
"Enabled", "Aktiviert"
"Status:", "Status:"
"Shop Token", "Shop Token"
"Access Token", "Access Token"
"Please enter Access Token received from emarketing", "Bitte fügen Sie das Token aus Ihrem easymarketing-Account ein"
"Root Category", "Root Kategorie"
"Country Code Shipping", "Länderkürzel zum Versand"
"Enable / Disable Google Site Verification", "Google Site Verification durchführen / aufheben"
"Activate Google Tracking", "Google Tracking aktivieren"
"Activate Google Remarketing", "Google Remarketing aktivieren"
"Activate Facebook Tracking", "Facebook Tracking aktivieren"
"Attribute Mapping", "Felderzuordnung"
"Default Value", "Standardwert"
"Yes", "Ja"
"No", "Nein"
"Product Title", "Produkttitel"
"Insert Product Title before manually selected Attributes", "Produktnamen vor manuell ausgewählte Attribute setzen"
"Use Short Description", "Kurzbeschreibung verwenden"
"GTIN (i.e. UPC)", "GTIN (z. B. EAN, ISBN)"
"Condition (new, refurbished, used)", "Zustand (neu, refurbished, gebraucht)"
"Google Shopping Category", "Google Shopping Kategorie"
"Product is adult only", "Produkt nur für Erwachsene"
"Brand/Manufacturer", "Marke/Hersteller"
"MPN (Manufacturer Part Number)", "MPN/HAN (Herstellerartikelnummer)"
"Unit Pricing Measure", "Maß für Grundpreis"
"Unit Pricing Base Measure", "Einheitsmaß für Grundpreis"
"Gender of Target Group", "Geschlecht der Zielgruppe"
"Age Group (of Target Group)", "Alter der Zielgruppe"
"Color", "Farbe"
"Size", "Größe"
"Size Type (for Fashion only)", "Größentyp (nur für Bekleidung)"
"Size System (for Fashion only)", "Größensystem (nur für Bekleidung)"
"Material", "Material"
"Pattern", "Muster"
"Custom label 1", "Benutzerdefiniertes Label 1"
"Custom label 2", "Benutzerdefiniertes Label 2"
"Custom label 3", "Benutzerdefiniertes Label 3"
"Set up successful!", "Erfolgreich eingerichtet!"
"Indexed categories", "Kategorien indexiert"
"Indexed products", "Produkte indexiert"
"Never", "Nie"
"Last indexed", "Letzte Indexierung"
"Wrong Access Token", "Falscher Access Token"
"Unknown HTTP Response", "Unbekannte HTTP Rückmeldung"
"Configuration faulty", "Konfiguration fehlerhaft"
"Module not activated", "Modul nicht aktiviert"
"I agree on adding emarketing as additional &quot;owner&quot; when enabling the Google Site Verification. This is required for authorizing emarketing to import my product data through the API. Of course I can revoke this consent at any time. Under no circumstances will emarketing use, share or save my data for purposes other than my campaign control.<br><br>When performing the verification, the Magento Cache will be flushed.", "Ich stimme zu, dass Google easymarketing bei meiner URL-Verifikation als weiteren &quot;Inhaber&quot; einträgt, damit easymarketing meine Daten für Google Shopping über die Schnittstelle pflegen und auslesen kann. Ich kann diese Zustimmung natürlich jederzeit widerrufen. easymarketing wird meine Daten unter keinen Umständen zu anderen Zwecken als meiner Kampagnen-Steuerung verwenden, weitergeben oder bei sich speichern.<br><br>Bei Durchführung der Verification wird der Magento Cache geleert."
"When the Verification is revoked, the Magento Cache will be flushed.", "Bei Aufhebung der Verifikation wird der Magento Cache geleert."
"Google Verification successful.", "Google Verifikation erfolgreich."
"Google Verification disabled.", "Google Verification deaktiviert."